Date,Home Team,Home GFpG,Home GApG,Away Team,Away GFpG,Away GApG,League GFpG,League GApG
1-Apr,Chelsea,2.769230769,0.615384615,Crystal Palace,1.5,1.857142857,1.627271062,1.211959707
1-Apr,Burnley,1.571428571,0.857142857,Tottenham,1.538461538,1,1.627271062,1.211959707
1-Apr,Liverpool,2.571428571,0.928571429,Everton,1.214285714,1.428571429,1.627271062,1.211959707
1-Apr,Manchester Utd,1.428571429,0.714285714,West Bromwich,0.857142857,1.428571429,1.627271062,1.211959707
1-Apr,Leicester City,1.571428571,1.285714286,Stoke City,1,1.785714286,1.627271062,1.211959707
1-Apr,Southampton,1.166666667,1.166666667,Bournemouth,1.142857143,2.214285714,1.627271062,1.211959707
1-Apr,Hull City,1.357142857,1.642857143,West Ham Utd,1.642857143,1.785714286,1.627271062,1.211959707
1-Apr,Watford,1.5,1.642857143,Sunderland,0.769230769,1.846153846,1.627271062,1.211959707
2-Apr,Arsenal,2,1,Manchester City,2.142857143,1.142857143,1.627271062,1.211959707
2-Apr,Swansea City,1.5,2.142857143,Middlesbrough,0.571428571,1.142857143,1.627271062,1.211959707
4-Apr,Manchester Utd,1.428571429,0.714285714,Everton,1.214285714,1.428571429,1.627271062,1.211959707
4-Apr,Watford,1.5,1.642857143,West Bromwich,0.857142857,1.428571429,1.627271062,1.211959707
4-Apr,Burnley,1.571428571,0.857142857,Stoke City,1,1.785714286,1.627271062,1.211959707
4-Apr,Leicester City,1.571428571,1.285714286,Sunderland,0.769230769,1.846153846,1.627271062,1.211959707
5-Apr,Chelsea,2.769230769,0.615384615,Manchester City,2.142857143,1.142857143,1.627271062,1.211959707
5-Apr,Swansea City,1.5,2.142857143,Tottenham,1.538461538,1,1.627271062,1.211959707
5-Apr,Liverpool,2.571428571,0.928571429,Bournemouth,1.142857143,2.214285714,1.627271062,1.211959707
5-Apr,Arsenal,2,1,West Ham Utd,1.642857143,1.785714286,1.627271062,1.211959707
5-Apr,Southampton,1.166666667,1.166666667,Crystal Palace,1.5,1.857142857,1.627271062,1.211959707
5-Apr,Hull City,1.357142857,1.642857143,Middlesbrough,0.571428571,1.142857143,1.627271062,1.211959707
