"date","home_team","away_team","home_prob","draw_prob","away_prob","mode_home","mode_away","mode_prob","over_prob","under_prob","home_CS","away_CS"
"Sat. 1 Apr.","Liverpool","Everton",0.511243930817908,0.225085552750499,0.263665708968013,1,1,0.101785781726216,0.614666310767445,0.385333689232555,0.27399329874716,0.152672364181361
"Sat. 1 Apr.","Burnley","Tottenham",0.139644916977484,0.236689659177831,0.62366383333975,0,1,0.164749028241045,0.409127272682696,0.590872727317304,0.187194861253904,0.525238506398295
"Sat. 1 Apr.","Leicester City","Stoke City",0.407285874058125,0.262885660993154,0.329828143549548,1,1,0.125037067057391,0.481365826222475,0.518634173777525,0.296160555288992,0.250992591283753
"Sat. 1 Apr.","Hull City","West Ham Utd",0.321582005734551,0.242615188771949,0.435801520193593,1,1,0.112617160602455,0.567909023064783,0.432090976935217,0.199950436581868,0.259021223793341
"Sat. 1 Apr.","Watford","Sunderland",0.545799677388772,0.242810655413067,0.211388104992215,1,0,0.122673731366387,0.484616640712979,0.515383359287021,0.390505273754427,0.187901192283153
"Sat. 1 Apr.","Chelsea","Crystal Palace",0.839716877167471,0.111306122970877,0.0487836293329807,2,0,0.132696287058059,0.665076479498651,0.334923520501349,0.56569108691782,0.0575221904471132
"Sat. 1 Apr.","Manchester Utd","West Bromwich",0.585585500234894,0.250335630979919,0.16407793786518,1,0,0.161021902542309,0.400278143643107,0.599721856356893,0.49549649720316,0.205167249471037
"Sat. 1 Apr.","Southampton","Bournemouth",0.534186247771947,0.228859604585798,0.236950442704844,1,1,0.106910211698419,0.571450589044652,0.428549410955348,0.318178218234826,0.160247892346601
"Sun. 2 Apr.","Swansea City","Middlesbrough",0.423289168671769,0.296898313937397,0.279812460210175,1,0,0.147012833970653,0.346195936722026,0.653804063277974,0.405585490601643,0.306625448366598
"Sun. 2 Apr.","Arsenal","Manchester City",0.453800748579783,0.230340331938588,0.315855832470627,1,1,0.102547861536567,0.624061855440025,0.375938144559975,0.235268285550191,0.169985226097599
"Tue. 4 Apr.","Leicester City","Sunderland",0.554543230937444,0.241728047118881,0.203727083135249,1,0,0.125556317063498,0.480083005614517,0.519916994385483,0.401076613188293,0.186284920641119
"Tue. 4 Apr.","Watford","West Bromwich",0.345039275394569,0.259413866920298,0.395546476761218,1,1,0.123220170634074,0.498972431813509,0.501027568186491,0.249199790438542,0.277927357557867
"Tue. 4 Apr.","Burnley","Stoke City",0.409009959808865,0.287686254282022,0.303303704960775,1,1,0.13261614495847,0.3824240136591,0.6175759863409,0.36641316026412,0.29665541493521
"Tue. 4 Apr.","Manchester Utd","Everton",0.452024218882019,0.282830954168696,0.265144686066601,1,0,0.140652553572762,0.383527480993715,0.616472519006285,0.396934302154091,0.272718031166902
"Wed. 5 Apr.","Arsenal","West Ham Utd",0.755589602445253,0.137935003045738,0.106213281792951,2,1,0.0832780293788897,0.766738441709557,0.233261558290443,0.342099705259435,0.0517707639072552
"Wed. 5 Apr.","Swansea City","Tottenham",0.093705528151314,0.154484237633128,0.751747672211182,0,2,0.118723631390709,0.635290988575492,0.364709011424508,0.0817325002245726,0.463202902043702
"Wed. 5 Apr.","Southampton","Crystal Palace",0.532794207412056,0.241603923441718,0.225600172527949,1,1,0.114905873459401,0.504708746744361,0.495291253255639,0.365216102890699,0.185270653618683
"Wed. 5 Apr.","Hull City","Middlesbrough",0.343335018141091,0.341798873974036,0.314866104142458,0,0,0.184856405365184,0.239658809992954,0.760341190007046,0.441007780061822,0.419168125894425
"Wed. 5 Apr.","Chelsea","Manchester City",0.596026402401789,0.228385828381922,0.175584698761525,1,0,0.126459462131841,0.494967411102803,0.505032588897197,0.424368563487881,0.165869495763714
"Wed. 5 Apr.","Liverpool","Bournemouth",0.78891230334685,0.121260007365137,0.0893110274392531,3,1,0.0816304405711349,0.800627500089924,0.199372499910076,0.343232363802641,0.0401492213842432
"Sat. 8 Apr.","Tottenham","Watford",0.838466803747405,0.113336569055915,0.0480328511646544,2,0,0.138359179084847,0.649344723388586,0.350655276611414,0.580345209360937,0.0608046342098723
"Sat. 8 Apr.","Manchester City","Hull City",0.839202001082894,0.110119649032016,0.050451908928976,2,0,0.126156864377855,0.681578580109363,0.318421419890637,0.546772784807416,0.0544944287976062
"Sat. 8 Apr.","West Ham Utd","Swansea City",0.597839675543468,0.190861779896288,0.211258810089388,2,1,0.0912725966356601,0.72257823418428,0.27742176581572,0.253847962659561,0.0928393834197656
"Sat. 8 Apr.","Middlesbrough","Burnley",0.340302676834467,0.360236231514501,0.299461090037823,0,0,0.212834044203865,0.203102023419632,0.796897976580368,0.477885596066412,0.445366099360194
"Sat. 8 Apr.","Stoke City","Liverpool",0.24587741833297,0.228454741553063,0.525664005040474,1,1,0.105970986280513,0.582385101091126,0.417614898908874,0.159296343216047,0.304829176234922
"Sat. 8 Apr.","West Bromwich","Southampton",0.470984908709297,0.269259008629332,0.259755767384146,1,0,0.129891589481603,0.426667445527684,0.573332554472316,0.377559111100134,0.243626750379863
"Sat. 8 Apr.","Bournemouth","Chelsea",0.124489247809628,0.177199316856998,0.698280171479308,0,2,0.111169625820589,0.616425341787006,0.383574658212994,0.0987549730401499,0.420048082597739
"Sun. 9 Apr.","Sunderland","Manchester Utd",0.152179988456835,0.254492284768308,0.593326998624197,0,1,0.174444568797253,0.372035799903476,0.627964200096524,0.213554482062984,0.529102244540358
